Series Code,Series Name,Topic,SubTopic1,SubTopic2,SubTopic3
GC.REV.GOTR.ZS,Grants and other revenue (% of revenue),Public Sector,Government finance,Revenue,
GC.REV.SOCL.CN,Social contributions (current LCU),Public Sector,Government finance,Revenue,
GC.REV.SOCL.ZS,Social contributions (% of revenue),Public Sector,Government finance,Revenue,
GC.REV.XGRT.CN,"Revenue, excluding grants (current LCU)",Public Sector,Government finance,Revenue,
GC.REV.XGRT.GD.ZS,"Revenue, excluding grants (% of GDP)",Public Sector,Government finance,Revenue,
GC.TAX.EXPT.CN,Taxes on exports (current LCU),Public Sector,Government finance,Revenue,
GC.TAX.EXPT.ZS,Taxes on exports (% of tax revenue),Public Sector,Government finance,Revenue,
GC.TAX.GSRV.CN,Taxes on goods and services (current LCU),Public Sector,Government finance,Revenue,
GC.TAX.GSRV.RV.ZS,Taxes on goods and services (% of revenue),Public Sector,Government finance,Revenue,
GC.TAX.GSRV.VA.ZS,Taxes on goods and services (% value added of industry and services),Public Sector,Government finance,Revenue,
GC.TAX.IMPT.CN,Customs and other import duties (current LCU),Public Sector,Government finance,Revenue,
GC.TAX.IMPT.ZS,Customs and other import duties (% of tax revenue),Public Sector,Government finance,Revenue,
GC.TAX.INTT.CN,Taxes on international trade (current LCU),Public Sector,Government finance,Revenue,
GC.TAX.INTT.RV.ZS,Taxes on international trade (% of revenue),Public Sector,Government finance,Revenue,
GC.TAX.OTHR.CN,Other taxes (current LCU),Public Sector,Government finance,Revenue,
GC.TAX.OTHR.RV.ZS,Other taxes (% of revenue),Public Sector,Government finance,Revenue,
GC.TAX.TOTL.CN,Tax revenue (current LCU),Public Sector,Government finance,Revenue,
GC.TAX.TOTL.GD.ZS,Tax revenue (% of GDP),Public Sector,Government finance,Revenue,
GC.TAX.YPKG.CN,"Taxes on income, profits and capital gains (current LCU)",Public Sector,Government finance,Revenue,
GC.TAX.YPKG.RV.ZS,"Taxes on income, profits and capital gains (% of revenue)",Public Sector,Government finance,Revenue,
GC.TAX.YPKG.ZS,"Taxes on income, profits and capital gains (% of total taxes)",Public Sector,Government finance,Revenue,
GC.XPN.COMP.CN,Compensation of employees (current LCU),Public Sector,Government finance,Expense,
GC.XPN.COMP.ZS,Compensation of employees (% of expense),Public Sector,Government finance,Expense,
GC.XPN.GSRV.CN,Goods and services expense (current LCU),Public Sector,Government finance,Expense,
GC.XPN.GSRV.ZS,Goods and services expense (% of expense),Public Sector,Government finance,Expense,
GC.XPN.INTP.CN,Interest payments (current LCU),Public Sector,Government finance,Expense,
GC.XPN.INTP.RV.ZS,Interest payments (% of revenue),Public Sector,Government finance,Expense,
GC.XPN.INTP.ZS,Interest payments (% of expense),Public Sector,Government finance,Expense,
GC.XPN.OTHR.CN,Other expense (current LCU),Public Sector,Government finance,Expense,
GC.XPN.OTHR.ZS,Other expense (% of expense),Public Sector,Government finance,Expense,
GC.XPN.TOTL.CN,Expense (current LCU),Public Sector,Government finance,Expense,
GC.XPN.TOTL.GD.ZS,Expense (% of GDP),Public Sector,Government finance,Expense,
GC.XPN.TRFT.CN,Subsidies and other transfers (current LCU),Public Sector,Government finance,Expense,
GC.XPN.TRFT.ZS,Subsidies and other transfers (% of expense),Public Sector,Government finance,Expense,
IC.BUS.DFRN.XQ,Distance to frontier score (0=lowest performance to 100=frontier),Private Sector & Trade,Business environment,,
IC.BUS.DISC.XQ,Business extent of disclosure index (0=less disclosure to 10=more disclosure),Private Sector & Trade,Business environment,,
IC.BUS.EASE.XQ,Ease of doing business index (1=most business-friendly regulations),Private Sector & Trade,Business environment,,
IC.BUS.NDNS.ZS,"New business density (new registrations per 1,000 people ages 15-64)",Private Sector & Trade,Business environment,,
IC.BUS.NREG,New businesses registered (number),Private Sector & Trade,Business environment,,
IC.CRD.INFO.XQ,Depth of credit information index (0=low to 8=high),Private Sector & Trade,Business environment,,
IC.CRD.PRVT.ZS,Private credit bureau coverage (% of adults),Private Sector & Trade,Business environment,,
IC.CRD.PUBL.ZS,Public credit registry coverage (% of adults),Private Sector & Trade,Business environment,,
IC.CUS.DURS.EX,Average time to clear exports through customs (days),Private Sector & Trade,Business environment,,
IC.ELC.DURS,Delay in obtaining an electrical connection (days),Private Sector & Trade,Business environment,,
IC.ELC.OUTG,Power outages in firms in a typical month (number),Private Sector & Trade,Business environment,,
IC.ELC.TIME,Time required to get electricity (days),Private Sector & Trade,Business environment,,
IC.EXP.COST.CD,Cost to export (US$ per container),Private Sector & Trade,Business environment,,
IC.EXP.CSBC.CD,"Cost to export, border compliance (US$)",Private Sector & Trade,Trade facilitation,,
IC.EXP.CSDC.CD,"Cost to export, documentary compliance (US$)",Private Sector & Trade,Trade facilitation,,
IC.EXP.DOCS,Documents to export (number),Private Sector & Trade,Trade facilitation,,
IC.EXP.DURS,Time to export (days),Private Sector & Trade,Trade facilitation,,
IC.EXP.TMBC,"Time to export, border compliance (hours)",Private Sector & Trade,Trade facilitation,,
IC.EXP.TMDC,"Time to export, documentary compliance (hours)",Private Sector & Trade,Trade facilitation,,
IC.FRM.BKWC.ZS,Firms using banks to finance working capital (% of firms),Private Sector & Trade,Business environment,,
IC.FRM.BNKS.ZS,Firms using banks to finance investment (% of firms),Private Sector & Trade,Business environment,,
IC.FRM.BRIB.ZS,Bribery incidence (% of firms experiencing at least one bribe payment request),Private Sector & Trade,Business environment,,
IC.FRM.CMPU.ZS,Firms competing against unregistered firms (% of firms),Private Sector & Trade,Business environment,,
IC.FRM.CORR.ZS,Informal payments to public officials (% of firms),Private Sector & Trade,Business environment,,
IC.FRM.CRIM.ZS,"Losses due to theft, robbery, vandalism, and arson (% sales)",Private Sector & Trade,Business environment,,
IC.FRM.DURS,Time required to obtain an operating license (days),Private Sector & Trade,Business environment,,
IC.FRM.FEMM.ZS,Firms with female top manager (% of firms),Private Sector & Trade,Business environment,,
IC.FRM.FEMO.ZS,Firms with female participation in ownership (% of firms),Private Sector & Trade,Business environment,,
IC.FRM.FREG.ZS,Firms formally registered when operations started (% of firms),Private Sector & Trade,Business environment,,
IC.FRM.INFM.ZS,Firms that do not report all sales for tax purposes (% of firms),Private Sector & Trade,Business environment,,
IC.FRM.ISOC.ZS,Internationally-recognized quality certification (% of firms),Private Sector & Trade,Business environment,,
IC.FRM.OUTG.ZS,Value lost due to electrical outages (% of sales),Private Sector & Trade,Business environment,,
IC.FRM.TRNG.ZS,Firms offering formal training (% of firms),Private Sector & Trade,Business environment,,
IC.GOV.DURS.ZS,Time spent dealing with the requirements of government regulations (% of senior management time),Private Sector & Trade,Business environment,,
IC.IMP.COST.CD,Cost to import (US$ per container),Private Sector & Trade,Business environment,,
IC.IMP.CSBC.CD,"Cost to import, border compliance (US$)",Private Sector & Trade,Trade facilitation,,
IC.IMP.CSDC.CD,"Cost to import, documentary compliance (US$)",Private Sector & Trade,Trade facilitation,,
IC.IMP.DOCS,Documents to import (number),Private Sector & Trade,Trade facilitation,,
IC.IMP.DURS,Time to import (days),Private Sector & Trade,Trade facilitation,,
IC.IMP.TMBC,"Time to import, border compliance (hours)",Private Sector & Trade,Trade facilitation,,
IC.IMP.TMDC,"Time to import, documentary compliance (hours)",Private Sector & Trade,Trade facilitation,,
IC.ISV.DURS,Time to resolve insolvency (years),Private Sector & Trade,Business environment,,
IC.LGL.CRED.XQ,Strength of legal rights index (0=weak to 12=strong),Private Sector & Trade,Business environment,,
IC.LGL.DURS,Time required to enforce a contract (days),Private Sector & Trade,Business environment,,
IC.PRP.DURS,Time required to register property (days),Private Sector & Trade,Business environment,,
IC.PRP.PROC,Procedures to register property (number),Private Sector & Trade,Business environment,,
IC.REG.COST.PC.FE.ZS,"Cost of business start-up procedures, female (% of GNI per capita)",Private Sector & Trade,Business environment,,
IC.REG.COST.PC.MA.ZS,"Cost of business start-up procedures, male (% of GNI per capita)",Private Sector & Trade,Business environment,,
IC.REG.COST.PC.ZS,Cost of business start-up procedures (% of GNI per capita),Private Sector & Trade,Business environment,,
IC.REG.DURS,Time required to start a business (days),Private Sector & Trade,Business environment,,
IC.REG.DURS.FE,"Time required to start a business, female (days)",Private Sector & Trade,Business environment,,
IC.REG.DURS.MA,"Time required to start a business, male (days)",Private Sector & Trade,Business environment,,
IC.REG.PROC,Start-up procedures to register a business (number),Private Sector & Trade,Business environment,,
IC.REG.PROC.FE,"Start-up procedures to register a business, female (number)",Private Sector & Trade,Business environment,,
IC.REG.PROC.MA,"Start-up procedures to register a business, male (number)",Private Sector & Trade,Business environment,,
IC.TAX.DURS,Time to prepare and pay taxes (hours),Private Sector & Trade,Business environment,,
IC.TAX.GIFT.ZS,Firms expected to give gifts in meetings with tax officials (% of firms),Private Sector & Trade,Business environment,,
IC.TAX.LABR.CP.ZS,Labor tax and contributions (% of commercial profits),Private Sector & Trade,Business environment,,
IC.TAX.METG,Number of visits or required meetings with tax officials,Private Sector & Trade,Business environment,,
IC.TAX.OTHR.CP.ZS,Other taxes payable by businesses (% of commercial profits),Private Sector & Trade,Business environment,,
IC.TAX.PAYM,Tax payments (number),Private Sector & Trade,Business environment,,
IC.TAX.PRFT.CP.ZS,Profit tax (% of commercial profits),Private Sector & Trade,Business environment,,
IC.TAX.TOTL.CP.ZS,Total tax rate (% of commercial profits),Private Sector & Trade,Business environment,,
IC.WRH.DURS,Time required to build a warehouse (days),Private Sector & Trade,Business environment,,
IC.WRH.PROC,Procedures to build a warehouse (number),Private Sector & Trade,Business environment,,
IE.PPI.ENGY.CD,Investment in energy with private participation (current US$),Private Sector & Trade,Private infrastructure investment,,
IE.PPI.TELE.CD,Investment in telecoms with private participation (current US$),Private Sector & Trade,Private infrastructure investment,,
IE.PPI.TRAN.CD,Investment in transport with private participation (current US$),Private Sector & Trade,Private infrastructure investment,,
IE.PPI.WATR.CD,Investment in water and sanitation with private participation (current US$),Private Sector & Trade,Private infrastructure investment,,
IP.IDS.NRCT,"Industrial design applications, nonresident, by count",Infrastructure,Technology,,
IP.IDS.RSCT,"Industrial design applications, resident, by count",Infrastructure,Technology,,
IP.JRN.ARTC.SC,Scientific and technical journal articles,Infrastructure,Technology,,
IP.PAT.NRES,"Patent applications, nonresidents",Infrastructure,Technology,,
IP.PAT.RESD,"Patent applications, residents",Infrastructure,Technology,,
IP.TMK.NRCT,"Trademark applications, nonresident, by count",Infrastructure,Technology,,
IP.TMK.NRES,"Trademark applications, direct nonresident",Infrastructure,Technology,,
IP.TMK.RESD,"Trademark applications, direct resident",Infrastructure,Technology,,
IP.TMK.RSCT,"Trademark applications, resident, by count",Infrastructure,Technology,,
IP.TMK.TOTL,"Trademark applications, total",Infrastructure,Technology,,
IQ.CPA.BREG.XQ,CPIA business regulatory environment rating (1=low to 6=high),Public Sector,Policy & institutions,,
IQ.CPA.DEBT.XQ,CPIA debt policy rating (1=low to 6=high),Public Sector,Policy & institutions,,
IQ.CPA.ECON.XQ,CPIA economic management cluster average (1=low to 6=high),Public Sector,Policy & institutions,,
IQ.CPA.ENVR.XQ,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Public Sector,Policy & institutions,,
IQ.CPA.FINQ.XQ,CPIA quality of budgetary and financial management rating (1=low to 6=high),Public Sector,Policy & institutions,,
IQ.CPA.FINS.XQ,CPIA financial sector rating (1=low to 6=high),Public Sector,Policy & institutions,,
IQ.CPA.FISP.XQ,CPIA fiscal policy rating (1=low to 6=high),Public Sector,Policy & institutions,,
IQ.CPA.GNDR.XQ,CPIA gender equality rating (1=low to 6=high),Public Sector,Policy & institutions,,
IQ.CPA.HRES.XQ,CPIA building human resources rating (1=low to 6=high),Public Sector,Policy & institutions,,
IQ.CPA.IRAI.XQ,IDA resource allocation index (1=low to 6=high),Public Sector,Policy & institutions,,
IQ.CPA.MACR.XQ,CPIA macroeconomic management rating (1=low to 6=high),Public Sector,Policy & institutions,,
IQ.CPA.PADM.XQ,CPIA quality of public administration rating (1=low to 6=high),Public Sector,Policy & institutions,,
IQ.CPA.PRES.XQ,CPIA equity of public resource use rating (1=low to 6=high),Public Sector,Policy & institutions,,
IQ.CPA.PROP.XQ,CPIA property rights and rule-based governance rating (1=low to 6=high),Public Sector,Policy & institutions,,
IQ.CPA.PROT.XQ,CPIA social protection rating (1=low to 6=high),Public Sector,Policy & institutions,,
IQ.CPA.PUBS.XQ,CPIA public sector management and institutions cluster average (1=low to 6=high),Public Sector,Policy & institutions,,
IQ.CPA.REVN.XQ,CPIA efficiency of revenue mobilization rating (1=low to 6=high),Public Sector,Policy & institutions,,
IQ.CPA.SOCI.XQ,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),Public Sector,Policy & institutions,,
IQ.CPA.STRC.XQ,CPIA structural policies cluster average (1=low to 6=high),Public Sector,Policy & institutions,,
IQ.CPA.TRAD.XQ,CPIA trade rating (1=low to 6=high),Public Sector,Policy & institutions,,
IQ.CPA.TRAN.XQ,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",Public Sector,Policy & institutions,,
IQ.SCI.MTHD,Methodology assessment of statistical capacity (scale 0 - 100),Public Sector,Policy & institutions,,
IQ.SCI.OVRL,Overall level of statistical capacity (scale 0 - 100),Public Sector,Policy & institutions,,
IQ.SCI.PRDC,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),Public Sector,Policy & institutions,,
IQ.SCI.SRCE,Source data assessment of statistical capacity (scale 0 - 100),Public Sector,Policy & institutions,,
IQ.WEF.CUST.XQ,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",Infrastructure,Transportation,,
IQ.WEF.PORT.XQ,"Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)",Infrastructure,Transportation,,
IS.AIR.DPRT,"Air transport, registered carrier departures worldwide",Infrastructure,Transportation,,
IS.AIR.GOOD.MT.K1,"Air transport, freight (million ton-km)",Infrastructure,Transportation,,
IS.AIR.PSGR,"Air transport, passengers carried",Infrastructure,Transportation,,
IS.RRS.GOOD.MT.K6,"Railways, goods transported (million ton-km)",Infrastructure,Transportation,,
IS.RRS.PASG.KM,"Railways, passengers carried (million passenger-km)",Infrastructure,Transportation,,
IS.RRS.TOTL.KM,Rail lines (total route-km),Infrastructure,Transportation,,
IS.SHP.GCNW.XQ,Liner shipping connectivity index (maximum value in 2004 = 100),Infrastructure,Transportation,,
IS.SHP.GOOD.TU,Container port traffic (TEU: 20 foot equivalent units),Infrastructure,Transportation,,
IT.CEL.SETS,Mobile cellular subscriptions,Infrastructure,Communications,,
IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),Infrastructure,Communications,,
IT.MLT.MAIN,Fixed telephone subscriptions,Infrastructure,Communications,,
IT.MLT.MAIN.P2,Fixed telephone subscriptions (per 100 people),Infrastructure,Communications,,
IT.NET.BBND,Fixed broadband subscriptions,Infrastructure,Communications,,
IT.NET.BBND.P2,Fixed broadband subscriptions (per 100 people),Infrastructure,Communications,,
IT.NET.SECR,Secure Internet servers,Infrastructure,Communications,,
IT.NET.SECR.P6,Secure Internet servers (per 1 million people),Infrastructure,Communications,,
IT.NET.USER.ZS,Individuals using the Internet (% of population),Infrastructure,Communications,,
LP.EXP.DURS.MD,"Lead time to export, median case (days)",Private Sector & Trade,Trade facilitation,,
LP.IMP.DURS.MD,"Lead time to import, median case (days)",Private Sector & Trade,Trade facilitation,,
LP.LPI.CUST.XQ,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),Private Sector & Trade,Trade facilitation,,
LP.LPI.INFR.XQ,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),Private Sector & Trade,Trade facilitation,,
LP.LPI.ITRN.XQ,Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),Private Sector & Trade,Trade facilitation,,
LP.LPI.LOGS.XQ,Logistics performance index: Competence and quality of logistics services (1=low to 5=high),Private Sector & Trade,Trade facilitation,,
LP.LPI.OVRL.XQ,Logistics performance index: Overall (1=low to 5=high),Private Sector & Trade,Trade facilitation,,
LP.LPI.TIME.XQ,Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),Private Sector & Trade,Trade facilitation,,
LP.LPI.TRAC.XQ,Logistics performance index: Ability to track and trace consignments (1=low to 5=high),Private Sector & Trade,Trade facilitation,,
MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),Public Sector,Defense & arms trade,,
MS.MIL.TOTL.P1,"Armed forces personnel, total",Public Sector,Defense & arms trade,,
MS.MIL.TOTL.TF.ZS,Armed forces personnel (% of total labor force),Public Sector,Defense & arms trade,,
MS.MIL.XPND.CN,Military expenditure (current LCU),Public Sector,Defense & arms trade,,
MS.MIL.XPND.GD.ZS,Military expenditure (% of GDP),Public Sector,Defense & arms trade,,
MS.MIL.XPND.ZS,Military expenditure (% of central government expenditure),Public Sector,Defense & arms trade,,
MS.MIL.XPRT.KD,Arms exports (SIPRI trend indicator values),Public Sector,Defense & arms trade,,
NE.CON.GOVT.CD,General government final consumption expenditure (current US$),Economic Policy & Debt,National accounts,US$ at current prices,Expenditure on GDP
NE.CON.GOVT.CN,General government final consumption expenditure (current LCU),Economic Policy & Debt,National accounts,Local currency at current prices,Expenditure on GDP
NE.CON.GOVT.KD,General government final consumption expenditure (constant 2010 US$),Economic Policy & Debt,National accounts,US$ at constant 2010 prices,Expenditure on GDP
NE.CON.GOVT.KD.ZG,General government final consumption expenditure (annual % growth),Economic Policy & Debt,National accounts,Growth rates,
NE.CON.GOVT.KN,General government final consumption expenditure (constant LCU),Economic Policy & Debt,National accounts,Local currency at constant prices,Expenditure on GDP
NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),Economic Policy & Debt,National accounts,Shares of GDP & other,
NE.CON.PETC.CD,"Household final consumption expenditure, etc. (current US$)",Economic Policy & Debt,National accounts,US$ at current prices,Expenditure on GDP
NE.CON.PETC.CN,"Household final consumption expenditure, etc. (current LCU)",Economic Policy & Debt,National accounts,Local currency at current prices,Expenditure on GDP
NE.CON.PETC.KD,"Household final consumption expenditure, etc. (constant 2010 US$)",Economic Policy & Debt,National accounts,US$ at constant 2010 prices,Expenditure on GDP
NE.CON.PETC.KD.ZG,"Household final consumption expenditure, etc. (annual % growth)",Economic Policy & Debt,National accounts,Growth rates,
NE.CON.PETC.KN,"Household final consumption expenditure, etc. (constant LCU)",Economic Policy & Debt,National accounts,Local currency at constant prices,Expenditure on GDP
NE.CON.PETC.ZS,"Household final consumption expenditure, etc. (% of GDP)",Economic Policy & Debt,National accounts,Shares of GDP & other,
NE.CON.PRVT.CD,Household final consumption expenditure (current US$),Economic Policy & Debt,National accounts,US$ at current prices,Expenditure on GDP
NE.CON.PRVT.CN,Household final consumption expenditure (current LCU),Economic Policy & Debt,National accounts,Local currency at current prices,Expenditure on GDP
NE.CON.PRVT.KD,Household final consumption expenditure (constant 2010 US$),Economic Policy & Debt,National accounts,US$ at constant 2010 prices,Expenditure on GDP
NE.CON.PRVT.KD.ZG,Household final consumption expenditure (annual % growth),Economic Policy & Debt,National accounts,Growth rates,
NE.CON.PRVT.KN,Household final consumption expenditure (constant LCU),Economic Policy & Debt,National accounts,Local currency at constant prices,Expenditure on GDP
NE.CON.PRVT.PC.KD,Household final consumption expenditure per capita (constant 2010 US$),Economic Policy & Debt,National accounts,US$ at constant 2010 prices,Expenditure on GDP
NE.CON.PRVT.PC.KD.ZG,Household final consumption expenditure per capita growth (annual %),Economic Policy & Debt,National accounts,Growth rates,
NE.CON.PRVT.PP.CD,"Household final consumption expenditure, PPP (current international $)",Economic Policy & Debt,Purchasing power parity,,
NE.CON.PRVT.PP.KD,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",Economic Policy & Debt,Purchasing power parity,,
NE.CON.TETC.CD,"Final consumption expenditure, etc. (current US$)",Economic Policy & Debt,National accounts,US$ at current prices,Expenditure on GDP
NE.CON.TETC.CN,"Final consumption expenditure, etc. (current LCU)",Economic Policy & Debt,National accounts,Local currency at current prices,Expenditure on GDP
NE.CON.TETC.KD,"Final consumption expenditure, etc. (constant 2010 US$)",Economic Policy & Debt,National accounts,US$ at constant 2010 prices,Expenditure on GDP
NE.CON.TETC.KD.ZG,"Final consumption expenditure, etc. (annual % growth)",Economic Policy & Debt,National accounts,Growth rates,
NE.CON.TETC.KN,"Final consumption expenditure, etc. (constant LCU)",Economic Policy & Debt,National accounts,Local currency at constant prices,Expenditure on GDP
NE.CON.TETC.ZS,"Final consumption expenditure, etc. (% of GDP)",Economic Policy & Debt,National accounts,Shares of GDP & other,
NE.CON.TOTL.CD,Final consumption expenditure (current US$),Economic Policy & Debt,National accounts,US$ at current prices,Expenditure on GDP
NE.CON.TOTL.CN,Final consumption expenditure (current LCU),Economic Policy & Debt,National accounts,Local currency at current prices,Expenditure on GDP
NE.CON.TOTL.KD,Final consumption expenditure (constant 2010 US$),Economic Policy & Debt,National accounts,US$ at constant 2010 prices,Expenditure on GDP
NE.CON.TOTL.KN,Final consumption expenditure (constant LCU),Economic Policy & Debt,National accounts,Local currency at constant prices,Expenditure on GDP
NE.DAB.DEFL.ZS,Gross national expenditure deflator (base year varies by country),Economic Policy & Debt,National accounts,Shares of GDP & other,
NE.DAB.TOTL.CD,Gross national expenditure (current US$),Economic Policy & Debt,National accounts,US$ at current prices,Expenditure on GDP
NE.DAB.TOTL.CN,Gross national expenditure (current LCU),Economic Policy & Debt,National accounts,Local currency at current prices,Expenditure on GDP
NE.DAB.TOTL.KD,Gross national expenditure (constant 2010 US$),Economic Policy & Debt,National accounts,US$ at constant 2010 prices,Expenditure on GDP
NE.DAB.TOTL.KN,Gross national expenditure (constant LCU),Economic Policy & Debt,National accounts,Local currency at constant prices,Expenditure on GDP
NE.DAB.TOTL.ZS,Gross national expenditure (% of GDP),Economic Policy & Debt,National accounts,Shares of GDP & other,
NE.EXP.GNFS.CD,Exports of goods and services (current US$),Economic Policy & Debt,National accounts,US$ at current prices,Expenditure on GDP
NE.EXP.GNFS.CN,Exports of goods and services (current LCU),Economic Policy & Debt,National accounts,Local currency at current prices,Expenditure on GDP
NE.EXP.GNFS.KD,Exports of goods and services (constant 2010 US$),Economic Policy & Debt,National accounts,US$ at constant 2010 prices,Expenditure on GDP
NE.EXP.GNFS.KD.ZG,Exports of goods and services (annual % growth),Economic Policy & Debt,National accounts,Growth rates,
NE.EXP.GNFS.KN,Exports of goods and services (constant LCU),Economic Policy & Debt,National accounts,Local currency at constant prices,Expenditure on GDP
NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),Economic Policy & Debt,National accounts,Shares of GDP & other,
NE.GDI.FPRV.CN,"Gross fixed capital formation, private sector (current LCU)",Economic Policy & Debt,National accounts,Local currency at current prices,Expenditure on GDP
NE.GDI.FPRV.ZS,"Gross fixed capital formation, private sector (% of GDP)",Economic Policy & Debt,National accounts,Shares of GDP & other,
NE.GDI.FTOT.CD,Gross fixed capital formation (current US$),Economic Policy & Debt,National accounts,US$ at current prices,Expenditure on GDP
NE.GDI.FTOT.CN,Gross fixed capital formation (current LCU),Economic Policy & Debt,National accounts,Local currency at current prices,Expenditure on GDP
NE.GDI.FTOT.KD,Gross fixed capital formation (constant 2010 US$),Economic Policy & Debt,National accounts,US$ at constant 2010 prices,Expenditure on GDP
NE.GDI.FTOT.KD.ZG,Gross fixed capital formation (annual % growth),Economic Policy & Debt,National accounts,Growth rates,
NE.GDI.FTOT.KN,Gross fixed capital formation (constant LCU),Economic Policy & Debt,National accounts,Local currency at constant prices,Expenditure on GDP
NE.GDI.FTOT.ZS,Gross fixed capital formation (% of GDP),Economic Policy & Debt,National accounts,Shares of GDP & other,
NE.GDI.STKB.CD,Changes in inventories (current US$),Economic Policy & Debt,National accounts,US$ at current prices,Expenditure on GDP
NE.GDI.STKB.CN,Changes in inventories (current LCU),Economic Policy & Debt,National accounts,Local currency at current prices,Expenditure on GDP
NE.GDI.STKB.KN,Changes in inventories (constant LCU),Economic Policy & Debt,National accounts,Local currency at constant prices,Expenditure on GDP
NE.GDI.TOTL.CD,Gross capital formation (current US$),Economic Policy & Debt,National accounts,US$ at current prices,Expenditure on GDP
NE.GDI.TOTL.CN,Gross capital formation (current LCU),Economic Policy & Debt,National accounts,Local currency at current prices,Expenditure on GDP
NE.GDI.TOTL.KD,Gross capital formation (constant 2010 US$),Economic Policy & Debt,National accounts,US$ at constant 2010 prices,Expenditure on GDP
NE.GDI.TOTL.KD.ZG,Gross capital formation (annual % growth),Economic Policy & Debt,National accounts,Growth rates,
NE.GDI.TOTL.KN,Gross capital formation (constant LCU),Economic Policy & Debt,National accounts,Local currency at constant prices,Expenditure on GDP
NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),Economic Policy & Debt,National accounts,Shares of GDP & other,
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Economic Policy & Debt,National accounts,US$ at current prices,Expenditure on GDP
NE.IMP.GNFS.CN,Imports of goods and services (current LCU),Economic Policy & Debt,National accounts,Local currency at current prices,Expenditure on GDP
NE.IMP.GNFS.KD,Imports of goods and services (constant 2010 US$),Economic Policy & Debt,National accounts,US$ at constant 2010 prices,Expenditure on GDP
NE.IMP.GNFS.KD.ZG,Imports of goods and services (annual % growth),Economic Policy & Debt,National accounts,Growth rates,
NE.IMP.GNFS.KN,Imports of goods and services (constant LCU),Economic Policy & Debt,National accounts,Local currency at constant prices,Expenditure on GDP
NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),Economic Policy & Debt,National accounts,Shares of GDP & other,
NE.RSB.GNFS.CD,External balance on goods and services (current US$),Economic Policy & Debt,National accounts,US$ at current prices,Expenditure on GDP
NE.RSB.GNFS.CN,External balance on goods and services (current LCU),Economic Policy & Debt,National accounts,Local currency at current prices,Expenditure on GDP
NE.RSB.GNFS.KN,External balance on goods and services (constant LCU),Economic Policy & Debt,National accounts,Local currency at constant prices,Expenditure on GDP
NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Economic Policy & Debt,National accounts,Shares of GDP & other,
NE.TRD.GNFS.ZS,Trade (% of GDP),Economic Policy & Debt,National accounts,Shares of GDP & other,
NV.AGR.TOTL.CD,"Agriculture, value added (current US$)",Economic Policy & Debt,National accounts,US$ at current prices,Value added
NV.AGR.TOTL.CN,"Agriculture, value added (current LCU)",Economic Policy & Debt,National accounts,Local currency at current prices,Value added
NV.AGR.TOTL.KD,"Agriculture, value added (constant 2010 US$)",Economic Policy & Debt,National accounts,US$ at constant 2010 prices,Value added
NV.AGR.TOTL.KD.ZG,"Agriculture, value added (annual % growth)",Economic Policy & Debt,National accounts,Growth rates,
NV.AGR.TOTL.KN,"Agriculture, value added (constant LCU)",Economic Policy & Debt,National accounts,Local currency at constant prices,Value added
NV.AGR.TOTL.ZS,"Agriculture, value added (% of GDP)",Economic Policy & Debt,National accounts,Shares of GDP & other,
NV.IND.MANF.CD,"Manufacturing, value added (current US$)",Economic Policy & Debt,National accounts,US$ at current prices,Value added
NV.IND.MANF.CN,"Manufacturing, value added (current LCU)",Economic Policy & Debt,National accounts,Local currency at current prices,Value added
NV.IND.MANF.KD,"Manufacturing, value added (constant 2010 US$)",Economic Policy & Debt,National accounts,US$ at constant 2010 prices,Value added
NV.IND.MANF.KD.ZG,"Manufacturing, value added (annual % growth)",Economic Policy & Debt,National accounts,Growth rates,
NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",Economic Policy & Debt,National accounts,Local currency at constant prices,Value added
NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",Economic Policy & Debt,National accounts,Shares of GDP & other,
NV.IND.TOTL.CD,"Industry, value added (current US$)",Economic Policy & Debt,National accounts,US$ at current prices,Value added
NV.IND.TOTL.CN,"Industry, value added (current LCU)",Economic Policy & Debt,National accounts,Local currency at current prices,Value added
